gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3
acpP,1150838,1151074,ECK1080,b1094,11487.4,29606.2,2.6,11772.1,37364.9,3.2,16785.7,36067.5,2.1
acpS,2699020,2698640,ECK2561,b2563,112.2,28.1,0.3,81.0,39.5,0.5,103.3,43.2,0.4
acpT,3610992,3611579,ECK3459,b3475,33.7,42.7,1.3,93.8,68.3,0.7,51.4,61.2,1.2
acrA,484843,483650,ECK0457,b0463,221.9,260.6,1.2,282.0,319.7,1.1,346.7,264.2,0.8
acrB,483627,480478,ECK0456,b0462,232.5,115.7,0.5,273.5,106.8,0.4,332.3,170.9,0.5
acrD,2585617,2588730,ECK2465,b2470,7.7,4.3,0.6,11.4,4.8,0.4,9.4,10.2,1.1
acrE,3411886,3413043,ECK3252,b3265,0.8,0.7,0.9,3.2,0.0,0.0,0.7,0.0,0.0
acrF,3413055,3416159,ECK3253,b3266,5.4,1.4,0.3,5.1,1.3,0.3,7.6,1.3,0.2
acrR,484985,485632,ECK0458,b0464,23.6,27.0,1.1,43.3,33.6,0.8,37.4,36.5,1.0
acrZ,793996,794145,ECK0751,b0762,395.9,890.4,2.2,330.5,1015.6,3.1,633.6,1185.1,1.9
acs,4285394,4283436,ECK4062,b4069,5.3,10.0,1.9,3.3,12.0,3.6,6.5,11.0,1.7
actP,4282925,4281276,ECK4060,b4067,3.5,1.7,0.5,7.4,2.5,0.3,3.4,1.9,0.6
ada,2308427,2307363,ECK2205,b2213,20.3,5.9,0.3,23.7,5.5,0.2,20.5,10.6,0.5
add,1700257,1701258,ECK1618,b1623,59.7,172.9,2.9,42.9,74.3,1.7,23.4,74.9,3.2
adeD,3841987,3843753,ECK3656,b3665,17.6,39.0,2.2,20.6,33.2,1.6,15.1,29.7,2.0
adeP,3894632,3893295,ECK3707,b3714,146.3,122.2,0.8,276.1,259.0,0.9,279.7,345.6,1.2
adeQ,3841812,3840478,ECK3655,b3664,1.7,0.0,0.0,3.5,0.6,0.2,1.5,1.5,1.0
adhE,1297344,1294669,ECK1235,b1241,383.6,1064.9,2.8,192.6,321.5,1.7,129.9,245.4,1.9
adhP,1551862,1550852,ECK1472,b1478,14.2,14.8,1.0,15.7,10.8,0.7,14.9,10.2,0.7
adiA,4338544,4336277,ECK4110,b4117,3.6,1.8,0.5,2.1,0.7,0.4,1.6,2.3,1.4
adiC,4335054,4333717,ECK4108,b4115,3.0,1.5,0.5,2.1,1.9,0.9,3.0,0.8,0.3
adiY,4335952,4335191,ECK4109,b4116,10.6,28.1,2.6,1.2,1.1,0.9,0.0,8.1,#DIV/0!
adk,496399,497043,ECK0468,b0474,816.7,2134.4,2.6,922.2,2324.1,2.5,989.5,1881.4,1.9
adrA,402927,404042,ECK0380,b0385,3.2,1.2,0.4,5.9,0.8,0.1,1.4,0.0,0.0
aegA,2583547,2581568,ECK2463,b2468,18.9,21.6,1.1,6.6,2.1,0.3,4.6,6.2,1.3
aer,3217098,3215578,ECK3062,b3072,36.7,27.8,0.8,57.8,30.3,0.5,71.4,37.8,0.5
aes,499197,498238,ECK0470,b0476,3.3,4.7,1.4,1.9,1.7,0.9,0.4,0.0,0.0
afuB,278400,278038,ECK0265,b0263,1.2,0.0,0.0,0.0,0.0,#DIV/0!,2.2,0.0,0.0
afuC,278026,276980,ECK0264,b0262,1.7,0.7,0.4,0.9,1.6,1.8,4.2,2.0,0.5
agaA,3279144,3279647,ECK3123,b3135,3.6,0.0,0.0,0.0,0.0,#DIV/0!,3.2,2.0,0.6
agaB,3282192,3282668,ECK3126,b3138,0.9,0.4,0.4,2.0,0.0,0.0,0.0,0.0,#DIV/0!
agaC,3282707,3283510,ECK3127,b3139,0.0,0.0,#DIV/0!,1.2,0.0,0.0,1.5,0.0,0.0
agaD,3283500,3284291,ECK3128,b3140,2.8,0.7,0.3,1.2,0.0,0.0,1.5,0.0,0.0
agaI,3284292,3285047,ECK3129,b3141,1.8,0.8,0.4,1.2,2.2,1.8,3.7,0.0,0.0
agaR,3276687,3275878,ECK3119,b3131,158.3,108.9,0.7,116.6,84.7,0.7,115.4,63.4,0.5
agaS,3279998,3281152,ECK3124,b3136,1.2,1.5,1.3,0.0,0.0,#DIV/0!,1.0,2.7,2.6
agaV,3278239,3278712,ECK3121,b3133,2.8,2.1,0.7,2.0,0.0,0.0,0.8,2.2,2.6
agaW,3278723,3279124,ECK3122,b3134,2.2,0.0,0.0,9.3,0.0,0.0,2.0,0.0,0.0
agp,1064808,1066049,ECK0993,b1002,10.1,20.4,2.0,8.3,6.1,0.7,8.3,11.6,1.4
ahpC,638168,638731,ECK0599,b0605,1890.3,7643.6,4.0,1985.0,6470.4,3.3,2076.4,5724.3,2.8
ahpF,638976,640541,ECK0600,b0606,169.8,529.0,3.1,171.4,329.8,1.9,183.3,229.7,1.3
ahr,4494232,4493213,ECK4262,b4269,10.1,20.4,2.0,9.2,14.8,1.6,9.0,11.1,1.2
aidB,4412298,4413923,ECK4183,b4187,5.5,3.8,0.7,2.9,1.5,0.5,4.6,1.9,0.4
ais,2363642,2363040,ECK2245,b2252,149.2,209.9,1.4,363.0,542.7,1.5,480.8,550.4,1.1
alaA,2405583,2406800,ECK2284,b2290,207.6,382.4,1.8,179.7,288.6,1.6,143.0,213.4,1.5
alaC,2496317,2495079,ECK2375,b2379,78.4,75.4,1.0,104.2,135.8,1.3,54.6,67.2,1.2
alaE,2797186,2797635,ECK2664,b2670,13.0,19.5,1.5,8.3,5.6,0.7,8.0,6.9,0.9
alaS,2820033,2817403,ECK2692,b2697,879.7,1018.5,1.2,737.3,723.7,1.0,695.0,555.7,0.8
aldA,1486256,1487695,ECK1408,b1415,45.9,74.9,1.6,42.2,91.3,2.2,40.0,58.5,1.5
aldB,3754534,3752996,ECK3577,b3588,1.8,0.9,0.5,2.4,1.1,0.4,1.3,2.0,1.6
alkA,2145564,2144716,ECK2062,b2068,14.8,19.5,1.3,11.0,11.8,1.1,14.5,13.3,0.9
alkB,2307363,2306713,ECK2204,b2212,8.3,6.6,0.8,4.3,1.3,0.3,6.7,1.6,0.2
allA,531675,532157,ECK0498,b0505,9.3,3.2,0.3,7.7,5.2,0.7,4.9,0.0,0.0
allB,538371,539732,ECK0505,b0512,1.3,1.4,1.1,1.4,0.0,0.0,2.6,3.0,1.1
allC,544516,543281,ECK0509,b0516,7.6,2.5,0.3,8.3,0.0,0.0,9.0,0.0,0.0
allD,545587,544538,ECK0510,b0517,0.4,0.9,2.2,0.9,0.0,0.0,1.5,0.0,0.0
allE,543270,542485,ECK0508,b0515,16.0,60.9,3.8,13.1,42.6,3.3,14.7,24.8,1.7
allR,532235,533050,ECK0499,b0506,173.1,216.4,1.3,118.1,182.6,1.5,130.1,197.7,1.5
allS,531445,530519,ECK0497,b0504,1.0,0.4,0.4,0.0,0.0,#DIV/0!,0.4,0.0,0.0
alpA,2756666,2756878,ECK2620,b2624,0.0,2.7,#DIV/0!,4.4,3.9,0.9,1.9,0.0,0.0
alr,4263805,4264884,ECK4045,b4053,108.7,115.6,1.1,112.6,93.8,0.8,100.2,105.6,1.1
alsA,4309003,4307471,ECK4080,b4087,1.5,0.0,0.0,1.8,0.0,0.0,1.3,0.0,0.0
alsB,4310065,4309130,ECK4081,b4088,3.8,6.2,1.6,7.0,2.7,0.4,1.7,1.1,0.6
alsC,4307492,4306512,ECK4079,b4086,0.9,0.6,0.6,1.0,0.0,0.0,1.2,0.0,0.0
alsE,4306501,4305806,ECK4078,b4085,5.8,2.0,0.3,4.0,0.0,0.0,4.0,0.0,0.0
alsK,4305822,4304893,ECK4077,b4084,3.9,1.5,0.4,4.0,2.7,0.7,3.4,4.4,1.3
alx,3236602,3237567,ECK3079,b3088,21.9,16.9,0.8,57.1,33.8,0.6,44.5,62.8,1.4
amiA,2550374,2551243,ECK2430,b2435,65.7,51.0,0.8,65.6,46.2,0.7,82.3,57.9,0.7
amiB,4394088,4395425,ECK4165,b4169,71.6,25.6,0.4,87.4,30.7,0.4,102.5,25.3,0.2
amiC,2947032,2945779,ECK2813,b2817,109.8,51.2,0.5,121.6,70.1,0.6,125.6,72.9,0.6
amiD,904136,904966,ECK0858,b0867,50.9,23.2,0.5,48.4,9.1,0.2,60.3,11.1,0.2
amn,2053085,2054539,ECK1977,b1982,52.3,144.0,2.8,52.1,92.0,1.8,27.6,72.7,2.6
ampC,4376967,4375834,ECK4146,b4150,19.0,38.1,2.0,19.0,42.8,2.3,20.0,14.5,0.7
ampD,118733,119284,ECK0109,b0110,60.3,78.3,1.3,35.6,37.9,1.1,32.4,46.5,1.4
ampE,119281,120135,ECK0110,b0111,33.1,22.5,0.7,33.9,19.6,0.6,25.6,27.6,1.1
ampG,452769,451294,ECK0427,b0433,64.3,17.5,0.3,130.5,22.1,0.2,124.5,35.5,0.3
ampH,395511,394354,ECK0371,b0376,29.9,36.0,1.2,42.0,47.0,1.1,22.7,37.3,1.6
amtB,472190,473476,ECK0445,b0451,7.3,0.2,0.0,12.4,1.3,0.1,7.4,1.6,0.2
amyA,2004180,2005667,ECK1926,b1927,42.6,10.6,0.2,61.0,14.1,0.2,64.7,20.0,0.3
anmK,1717626,1716517,ECK1636,b1640,34.4,42.3,1.2,37.1,26.4,0.7,20.4,23.1,1.1
ansA,1848884,1849900,ECK1765,b1767,94.7,177.7,1.9,124.2,182.7,1.5,114.6,149.5,1.3
ansB,3098750,3097704,ECK2952,b2957,32.2,52.8,1.6,19.7,8.8,0.4,9.1,12.8,1.4
ansP,1524004,1522505,ECK1447,b1453,15.9,17.0,1.1,30.6,22.9,0.7,33.4,30.8,0.9
apaG,51606,51229,ECK0051,b0050,189.2,44.8,0.2,210.3,24.4,0.1,177.8,38.1,0.2
apaH,51222,50380,ECK0050,b0049,52.8,54.5,1.0,68.8,65.5,1.0,68.4,45.1,0.7
apbE,2309556,2308501,ECK2206,b2214,21.7,12.5,0.6,31.0,19.8,0.6,37.7,33.1,0.9
aphA,4267437,4268150,ECK4047,b4055,37.2,56.7,1.5,19.6,21.1,1.1,16.2,31.7,2.0
appA,1039840,1041138,ECK0971,b0980,6.6,0.9,0.1,6.5,0.6,0.1,3.1,1.6,0.5
appB,1038519,1039655,ECK0970,b0979,3.2,2.6,0.8,6.6,1.5,0.2,2.8,4.5,1.6
appC,1036963,1038507,ECK0969,b0978,3.2,1.8,0.6,5.4,2.2,0.4,4.6,7.3,1.6
appX,1039668,1039760,ECK4402,b4592,9.7,14.7,1.5,20.1,0.0,0.0,8.6,0.0,0.0
appY,582904,583653,ECK0556,b0564,5.4,7.3,1.3,0.0,3.3,#DIV/0!,6.4,11.0,1.7
apt,490636,491187,ECK0463,b0469,286.9,855.0,3.0,528.6,1332.8,2.5,396.9,1142.9,2.9
aqpZ,915270,914575,ECK0866,b0875,10.3,2.5,0.2,4.0,3.6,0.9,9.1,4.4,0.5
araA,68337,66835,ECK0063,b0062,0.9,3.9,4.3,2.5,0.6,0.2,1.3,4.1,3.1
araB,70048,68348,ECK0064,b0063,1.3,0.1,0.1,0.5,0.0,0.0,1.4,0.6,0.4
araC,70387,71265,ECK0065,b0064,15.4,14.2,0.9,9.6,6.7,0.7,13.1,15.2,1.2
araD,66550,65855,ECK0062,b0061,0.0,1.1,#DIV/0!,4.0,0.0,0.0,3.4,0.0,0.0
araE,2980204,2978786,ECK2839,b2841,9.8,1.1,0.1,14.5,2.4,0.2,13.5,5.8,0.4
araF,1984152,1983163,ECK1899,b1901,1.4,2.6,1.9,3.8,0.8,0.2,4.0,0.0,0.0
araG,1983093,1981579,ECK1898,b1900,2.1,1.2,0.6,1.2,0.6,0.4,1.6,0.0,0.0
araH,1981567,1980578,ECK1897,b4460,2.7,0.8,0.3,1.9,0.8,0.4,1.2,3.1,2.6
araJ,411705,410521,ECK0390,b0396,13.7,7.6,0.6,10.3,6.4,0.6,17.1,11.3,0.7
arcA,4638329,4637613,ECK4393,b4401,619.3,1081.3,1.7,502.2,658.4,1.3,574.0,669.3,1.2
arcB,3351047,3348711,ECK3200,b3210,73.5,66.1,0.9,44.8,28.7,0.6,43.6,39.6,0.9
arfA,3436671,3436453,ECK3278,b4550,39.0,112.9,2.9,68.3,122.3,1.8,59.9,117.3,2.0
arfB,214833,215255,ECK0191,b0191,51.0,12.9,0.3,53.1,9.9,0.2,50.8,34.0,0.7
argA,2947264,2948595,ECK2814,b2818,12.8,5.3,0.4,10.5,3.1,0.3,8.4,6.2,0.7
argB,4154039,4154812,ECK3950,b3959,27.9,21.4,0.8,16.9,19.5,1.2,22.6,27.9,1.2
argC,4153024,4154028,ECK3949,b3958,14.8,10.7,0.7,10.2,8.3,0.8,13.1,17.4,1.3
argD,3488202,3486982,ECK3347,b3359,46.4,59.2,1.3,60.5,54.2,0.9,53.4,48.8,0.9
argE,4152870,4151719,ECK3948,b3957,64.8,91.1,1.4,41.4,44.3,1.1,42.8,49.1,1.1
argF,289529,288525,ECK0274,b0273,19.7,42.4,2.2,15.8,35.0,2.2,20.6,23.5,1.1
argG,3316659,3318002,ECK3161,b3172,69.0,166.7,2.4,75.2,124.6,1.7,79.3,117.7,1.5
argH,4154873,4156246,ECK3951,b3960,39.9,44.2,1.1,37.4,45.7,1.2,38.5,36.6,1.0
argI,4476334,4475330,ECK4247,b4254,9.4,13.0,1.4,6.5,5.0,0.8,7.9,17.4,2.2
argK,3061009,3062004,ECK2914,b2918,2.3,0.0,0.0,1.9,0.0,0.0,1.2,1.0,0.9
argO,3066830,3066195,ECK2919,b2923,14.9,26.0,1.8,17.6,22.4,1.3,16.3,11.3,0.7
argP,3057775,3058668,ECK2912,b2916,102.1,222.1,2.2,82.6,118.9,1.4,62.7,102.3,1.6
argR,3382725,3383195,ECK3226,b3237,145.2,208.3,1.4,176.7,360.7,2.0,221.2,377.4,1.7
argS,1958086,1959819,ECK1877,b1876,194.8,286.2,1.5,224.9,402.1,1.8,255.2,304.6,1.2
argT,2425813,2425031,ECK2304,b2310,35.0,74.1,2.1,37.0,75.9,2.0,48.8,60.4,1.2
ariR,1215592,1215858,ECK1153,b1166,1.7,7.3,4.3,7.0,6.3,0.9,7.4,7.7,1.0
arnA,2366061,2368043,ECK2248,b2255,239.1,370.1,1.5,276.9,366.8,1.3,221.8,330.6,1.5
arnB,2363932,2365089,ECK2246,b2253,174.4,122.1,0.7,353.8,244.3,0.7,330.7,278.6,0.8
arnC,2365093,2366061,ECK2247,b2254,186.6,228.9,1.2,224.9,249.6,1.1,192.9,182.4,0.9
arnD,2368040,2368930,ECK2249,b2256,132.3,76.9,0.6,155.4,73.3,0.5,204.4,104.9,0.5
arnE,2370579,2370914,ECK2251,b4544,41.5,19.1,0.5,64.0,42.3,0.7,34.3,15.3,0.4
arnF,2370914,2371300,ECK2252,b2258,11.6,9.1,0.8,33.8,19.5,0.6,17.5,21.2,1.2
arnT,2368930,2370582,ECK2250,b2257,33.5,16.8,0.5,54.9,20.8,0.4,46.2,51.6,1.1
aroA,958035,959318,ECK0899,b0908,217.6,264.4,1.2,185.7,245.1,1.3,174.7,189.7,1.1
aroB,3516508,3515420,ECK3376,b3389,411.0,115.1,0.3,578.0,135.3,0.2,475.8,119.8,0.3
aroC,2445495,2444410,ECK2323,b2329,264.7,286.3,1.1,250.6,265.1,1.1,222.6,205.3,0.9
aroD,1772710,1773468,ECK1691,b1693,48.0,111.3,2.3,35.7,70.6,2.0,28.3,55.5,2.0
aroE,3428860,3428042,ECK3268,b3281,192.8,106.5,0.6,177.0,119.6,0.7,153.9,91.6,0.6
aroF,2739172,2738102,ECK2598,b2601,54.2,72.2,1.3,50.7,56.3,1.1,64.6,49.9,0.8
aroG,784856,785908,ECK0743,b0754,588.7,1531.7,2.6,441.4,1007.1,2.3,369.7,642.1,1.7
aroH,1786459,1787505,ECK1702,b1704,90.7,107.9,1.2,131.3,173.5,1.3,105.6,169.8,1.6
aroK,3517086,3516565,ECK3377,b3390,553.3,545.3,1.0,883.3,1032.6,1.2,983.5,834.6,0.8
aroL,405629,406153,ECK0383,b0388,115.7,93.5,0.8,133.6,100.4,0.8,131.0,58.7,0.4
aroM,406652,407329,ECK0385,b0390,17.3,17.2,1.0,22.1,34.6,1.6,29.9,31.8,1.1
aroP,121551,120178,ECK0111,b0112,76.0,63.5,0.8,79.6,55.4,0.7,88.6,124.1,1.4
arpA,4220510,4218324,ECK4009,b4017,1.0,0.7,0.7,1.3,0.4,0.3,0.4,0.9,2.6
arsB,3646958,3648247,ECK3487,b3502,7.7,6.2,0.8,6.5,6.5,1.0,8.6,6.4,0.7
arsC,3648260,3648685,ECK3488,b3503,18.0,40.2,2.2,8.8,21.6,2.5,9.3,38.6,4.1
arsR,3646551,3646904,ECK3486,b3501,15.2,10.4,0.7,18.5,4.7,0.3,15.7,8.7,0.6
artI,902211,901480,ECK0854,b0863,111.8,280.6,2.5,141.8,223.0,1.6,150.5,227.4,1.5
artJ,899798,899067,ECK0851,b0860,23.4,118.9,5.1,29.4,88.0,3.0,34.2,88.4,2.6
artM,900757,900089,ECK0852,b0861,51.8,20.7,0.4,89.5,40.0,0.4,107.6,36.9,0.3
artP,902957,902229,ECK0855,b0864,77.1,49.4,0.6,103.9,105.6,1.0,128.7,86.0,0.7
artQ,901473,900757,ECK0853,b0862,77.8,25.5,0.3,103.1,54.9,0.5,97.1,63.1,0.6
ascB,2839012,2840436,ECK2711,b2716,9.2,7.7,0.8,4.6,7.0,1.5,9.2,5.8,0.6
ascF,2837546,2839003,ECK2710,b2715,7.7,0.8,0.1,9.0,0.6,0.1,7.4,1.4,0.2
ascG,2837286,2836276,ECK2709,b2714,40.5,39.1,1.0,41.6,17.4,0.4,33.8,40.7,1.2
asd,3572901,3571798,ECK3419,b3433,732.2,1505.2,2.1,511.7,817.3,1.6,396.2,735.3,1.9
aslA,3984030,3982375,ECK3794,b3801,3.5,0.4,0.1,5.1,0.0,0.0,3.8,1.9,0.5
aslB,3980981,3982216,ECK3793,b3800,2.9,0.8,0.3,9.8,2.0,0.2,7.4,2.5,0.3
asmA,2139636,2137783,ECK2058,b2064,61.9,20.5,0.3,77.7,22.6,0.3,85.4,33.8,0.4
asnA,3925178,3926170,ECK3738,b3744,309.9,723.1,2.3,454.0,814.2,1.8,508.2,667.4,1.3
asnB,698400,696736,ECK0662,b0674,185.3,478.4,2.6,121.9,273.5,2.2,134.9,181.4,1.3
asnC,3925026,3924568,ECK3737,b3743,19.6,68.3,3.5,18.3,82.1,4.5,12.1,98.5,8.1
asnS,988208,986808,ECK0921,b0930,701.3,1085.5,1.5,863.9,1237.3,1.4,705.3,924.8,1.3
aspA,4366350,4364914,ECK4133,b4139,489.3,713.6,1.5,86.6,57.7,0.7,107.4,91.5,0.9
aspC,984932,983742,ECK0919,b0928,328.6,884.1,2.7,301.6,773.0,2.6,257.8,460.7,1.8
aspS,1948546,1946774,ECK1867,b1866,424.5,809.0,1.9,452.1,674.6,1.5,417.8,511.2,1.2
asr,1669400,1669708,ECK1592,b1597,1.5,8.8,6.1,3.0,13.5,4.5,1.3,23.3,18.1
astA,1828789,1827755,ECK1745,b1747,3.5,0.2,0.1,0.9,2.4,2.7,1.2,0.0,0.0
astB,1826283,1824940,ECK1743,b1745,2.3,0.1,0.1,3.5,0.6,0.2,2.7,0.8,0.3
astC,1830006,1828786,ECK1746,b1748,0.7,1.3,1.7,2.3,0.7,0.3,2.3,1.7,0.7
astD,1827758,1826280,ECK1744,b1746,3.3,0.9,0.3,4.4,0.6,0.1,3.5,1.4,0.4
astE,1824947,1823979,ECK1742,b1744,1.4,0.0,0.0,1.0,0.0,0.0,0.4,1.1,2.6
atl,475595,475206,ECK0448,b0454,33.5,46.4,1.4,19.2,45.1,2.3,8.2,29.0,3.6
atoA,2322131,2322781,ECK2215,b2222,0.7,0.3,0.4,1.4,0.0,0.0,1.2,0.0,0.0
atoB,2324131,2325315,ECK2217,b2224,2.7,0.0,0.0,4.7,0.0,0.0,1.7,0.0,0.0
atoC,2319888,2321273,ECK2213,b2220,2.9,3.8,1.3,4.0,1.8,0.4,1.7,3.7,2.2
atoD,2321469,2322131,ECK2214,b2221,0.7,0.6,0.9,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
atoE,2322778,2324100,ECK2216,b2223,0.7,0.1,0.2,1.4,0.0,0.0,0.6,0.0,0.0
atoS,2318065,2319891,ECK2212,b2219,2.0,1.7,0.9,2.0,0.5,0.2,1.1,0.0,0.0
atpA,3917880,3916339,ECK3727,b3734,3260.1,3774.9,1.2,3630.8,2966.4,0.8,3633.4,1997.1,0.5
atpB,3920074,3919259,ECK3731,b3738,1606.5,661.6,0.4,2153.7,806.2,0.4,2368.9,1001.1,0.4
atpC,3913995,3913576,ECK3724,b3731,3259.3,1437.5,0.4,3803.5,1295.4,0.3,4262.6,1560.9,0.4
atpD,3915398,3914016,ECK3725,b3732,3214.0,3715.6,1.2,3303.6,3050.9,0.9,3079.8,2700.0,0.9
atpE,3919212,3918973,ECK3730,b3737,4912.8,10013.1,2.0,5405.2,8031.7,1.5,5308.8,7560.9,1.4
atpF,3918911,3918441,ECK3729,b3736,4117.5,1413.3,0.3,4450.1,1283.0,0.3,5461.7,1629.6,0.3
atpG,3916288,3915425,ECK3726,b3733,2975.1,1118.2,0.4,2803.7,850.6,0.3,3123.8,737.3,0.2
atpH,3918426,3917893,ECK3728,b3735,3502.0,780.6,0.2,3527.5,714.7,0.2,3812.8,758.1,0.2
atpI,3920463,3920083,ECK3732,b3739,467.6,15.3,0.0,908.3,28.6,0.0,1158.5,59.3,0.1
avtA,3737728,3738981,ECK3561,b3572,163.2,220.5,1.4,181.2,242.3,1.3,150.6,214.7,1.4
azoR,1480884,1480279,ECK1405,b1412,37.9,223.0,5.9,30.9,127.1,4.1,37.4,120.4,3.2
azuC,1985983,1985897,ECK4478,b4663,248.2,926.5,3.7,623.5,1789.5,2.9,1174.7,3720.4,3.2
bacA,3202153,3201332,ECK3047,b3057,83.7,84.6,1.0,105.8,114.0,1.1,105.0,101.3,1.0
baeR,2162300,2163022,ECK2075,b2079,56.0,108.3,1.9,38.8,60.2,1.6,33.0,85.3,2.6
baeS,2160900,2162303,ECK2074,b2078,5.4,2.1,0.4,5.3,3.0,0.6,6.2,7.3,1.2
bamA,197928,200360,ECK0176,b0177,576.0,583.9,1.0,558.6,485.4,0.9,611.4,397.0,0.6
bamB,2636674,2635496,ECK2508,b2512,446.0,358.0,0.8,448.2,349.3,0.8,535.9,307.6,0.6
bamC,2596887,2595853,ECK2473,b2477,505.1,307.9,0.6,551.2,416.5,0.8,642.8,368.3,0.6
bamD,2734168,2734905,ECK2593,b2595,385.9,1014.1,2.6,425.8,934.5,2.2,500.6,952.3,1.9
bamE,2751627,2751968,ECK2613,b2617,359.1,867.6,2.4,396.5,900.6,2.3,504.6,727.1,1.4
barA,2913079,2915835,ECK2780,b2786,32.0,17.5,0.5,25.4,15.5,0.6,30.3,21.2,0.7
basR,4331973,4331305,ECK4106,b4113,189.0,299.2,1.6,247.5,271.5,1.1,231.8,199.7,0.9
basS,4331295,4330204,ECK4105,b4112,115.8,80.6,0.7,176.4,94.3,0.5,174.8,104.4,0.6
bax,3735200,3734376,ECK3559,b3570,142.9,138.1,1.0,258.5,210.0,0.8,242.9,214.2,0.9
bcp,2598500,2598970,ECK2476,b2480,469.9,1126.8,2.4,442.8,1060.9,2.4,409.5,935.9,2.3
bcr,2277782,2276592,ECK2176,b2182,65.7,18.6,0.3,99.7,34.4,0.3,85.8,46.6,0.5
bcsA,3693259,3690641,ECK3518,b3533,4.8,0.8,0.2,10.4,0.6,0.1,7.0,2.7,0.4
bcsB,3690630,3688291,ECK3517,b3532,6.0,6.8,1.1,10.8,7.2,0.7,6.8,5.3,0.8
bcsC,3687196,3683723,ECK3515,b3530,13.5,3.6,0.3,13.5,1.4,0.1,11.7,4.1,0.4
bcsE,3694481,3696052,ECK3521,b3536,106.7,93.4,0.9,67.2,38.9,0.6,56.4,44.4,0.8
bcsF,3696049,3696240,ECK3522,b3537,42.2,29.4,0.7,48.7,48.0,1.0,20.7,48.2,2.3
bcsG,3696237,3697916,ECK3523,b3538,29.2,23.3,0.8,37.9,23.9,0.6,37.4,23.9,0.6
bcsQ,3693984,3693256,ECK3519,b3534,22.2,5.6,0.3,44.9,9.2,0.2,42.0,14.1,0.3
bcsZ,3688284,3687178,ECK3516,b3531,6.9,2.6,0.4,9.3,4.5,0.5,7.2,3.7,0.5
bdcA,4472076,4471363,ECK4243,b4249,8.8,32.7,3.7,5.2,18.8,3.6,12.3,8.6,0.7
bdcR,4472147,4472740,ECK4244,b4251,28.8,102.9,3.6,40.9,64.8,1.6,25.4,55.4,2.2
