gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3,TE_n_nonmissing,TE_mean,TE_all_missing
afuB,278400.0,278038.0,ECK0265,b0263,1.2,0.0,0.0,0.0,0.0,,2.2,0.0,0.0,2,0.0,False
afuC,278026.0,276980.0,ECK0264,b0262,1.7,0.7,0.4,0.9,1.6,1.8,4.2,2.0,0.5,3,0.9,False
agaA,3279144.0,3279647.0,ECK3123,b3135,3.6,0.0,0.0,0.0,0.0,,3.2,2.0,0.6,2,0.3,False
agaB,3282192.0,3282668.0,ECK3126,b3138,0.9,0.4,0.4,2.0,0.0,0.0,0.0,0.0,,2,0.2,False
agaC,3282707.0,3283510.0,ECK3127,b3139,0.0,0.0,,1.2,0.0,0.0,1.5,0.0,0.0,2,0.0,False
agaD,3283500.0,3284291.0,ECK3128,b3140,2.8,0.7,0.3,1.2,0.0,0.0,1.5,0.0,0.0,3,0.09999999999999999,False
agaI,3284292.0,3285047.0,ECK3129,b3141,1.8,0.8,0.4,1.2,2.2,1.8,3.7,0.0,0.0,3,0.7333333333333334,False
agaR,3276687.0,3275878.0,ECK3119,b3131,158.3,108.9,0.7,116.6,84.7,0.7,115.4,63.4,0.5,3,0.6333333333333333,False
agaS,3279998.0,3281152.0,ECK3124,b3136,1.2,1.5,1.3,0.0,0.0,,1.0,2.7,2.6,2,1.9500000000000002,False
agaV,3278239.0,3278712.0,ECK3121,b3133,2.8,2.1,0.7,2.0,0.0,0.0,0.8,2.2,2.6,3,1.0999999999999999,False
agaW,3278723.0,3279124.0,ECK3122,b3134,2.2,0.0,0.0,9.3,0.0,0.0,2.0,0.0,0.0,3,0.0,False
agp,1064808.0,1066049.0,ECK0993,b1002,10.1,20.4,2.0,8.3,6.1,0.7,8.3,11.6,1.4,3,1.3666666666666665,False
ahpC,638168.0,638731.0,ECK0599,b0605,1890.3,7643.6,4.0,1985.0,6470.4,3.3,2076.4,5724.3,2.8,3,3.3666666666666667,False
ahpF,638976.0,640541.0,ECK0600,b0606,169.8,529.0,3.1,171.4,329.8,1.9,183.3,229.7,1.3,3,2.1,False
ahr,4494232.0,4493213.0,ECK4262,b4269,10.1,20.4,2.0,9.2,14.8,1.6,9.0,11.1,1.2,3,1.5999999999999999,False
aidB,4412298.0,4413923.0,ECK4183,b4187,5.5,3.8,0.7,2.9,1.5,0.5,4.6,1.9,0.4,3,0.5333333333333333,False
ais,2363642.0,2363040.0,ECK2245,b2252,149.2,209.9,1.4,363.0,542.7,1.5,480.8,550.4,1.1,3,1.3333333333333333,False
alaA,2405583.0,2406800.0,ECK2284,b2290,207.6,382.4,1.8,179.7,288.6,1.6,143.0,213.4,1.5,3,1.6333333333333335,False
alaC,2496317.0,2495079.0,ECK2375,b2379,78.4,75.4,1.0,104.2,135.8,1.3,54.6,67.2,1.2,3,1.1666666666666667,False
alaE,2797186.0,2797635.0,ECK2664,b2670,13.0,19.5,1.5,8.3,5.6,0.7,8.0,6.9,0.9,3,1.0333333333333334,False
alaS,2820033.0,2817403.0,ECK2692,b2697,879.7,1018.5,1.2,737.3,723.7,1.0,695.0,555.7,0.8,3,1.0,False
aldA,1486256.0,1487695.0,ECK1408,b1415,45.9,74.9,1.6,42.2,91.3,2.2,40.0,58.5,1.5,3,1.7666666666666668,False
aldB,3754534.0,3752996.0,ECK3577,b3588,1.8,0.9,0.5,2.4,1.1,0.4,1.3,2.0,1.6,3,0.8333333333333334,False
alkA,2145564.0,2144716.0,ECK2062,b2068,14.8,19.5,1.3,11.0,11.8,1.1,14.5,13.3,0.9,3,1.1,False
alkB,2307363.0,2306713.0,ECK2204,b2212,8.3,6.6,0.8,4.3,1.3,0.3,6.7,1.6,0.2,3,0.43333333333333335,False
allA,531675.0,532157.0,ECK0498,b0505,9.3,3.2,0.3,7.7,5.2,0.7,4.9,0.0,0.0,3,0.3333333333333333,False
allB,538371.0,539732.0,ECK0505,b0512,1.3,1.4,1.1,1.4,0.0,0.0,2.6,3.0,1.1,3,0.7333333333333334,False
allC,544516.0,543281.0,ECK0509,b0516,7.6,2.5,0.3,8.3,0.0,0.0,9.0,0.0,0.0,3,0.09999999999999999,False
allD,545587.0,544538.0,ECK0510,b0517,0.4,0.9,2.2,0.9,0.0,0.0,1.5,0.0,0.0,3,0.7333333333333334,False
allE,543270.0,542485.0,ECK0508,b0515,16.0,60.9,3.8,13.1,42.6,3.3,14.7,24.8,1.7,3,2.933333333333333,False
allR,532235.0,533050.0,ECK0499,b0506,173.1,216.4,1.3,118.1,182.6,1.5,130.1,197.7,1.5,3,1.4333333333333333,False
allS,531445.0,530519.0,ECK0497,b0504,1.0,0.4,0.4,0.0,0.0,,0.4,0.0,0.0,2,0.2,False
alpA,2756666.0,2756878.0,ECK2620,b2624,0.0,2.7,,4.4,3.9,0.9,1.9,0.0,0.0,2,0.45,False
alr,4263805.0,4264884.0,ECK4045,b4053,108.7,115.6,1.1,112.6,93.8,0.8,100.2,105.6,1.1,3,1.0,False
alsA,4309003.0,4307471.0,ECK4080,b4087,1.5,0.0,0.0,1.8,0.0,0.0,1.3,0.0,0.0,3,0.0,False
alsB,4310065.0,4309130.0,ECK4081,b4088,3.8,6.2,1.6,7.0,2.7,0.4,1.7,1.1,0.6,3,0.8666666666666667,False
alsC,4307492.0,4306512.0,ECK4079,b4086,0.9,0.6,0.6,1.0,0.0,0.0,1.2,0.0,0.0,3,0.19999999999999998,False
alsE,4306501.0,4305806.0,ECK4078,b4085,5.8,2.0,0.3,4.0,0.0,0.0,4.0,0.0,0.0,3,0.09999999999999999,False
alsK,4305822.0,4304893.0,ECK4077,b4084,3.9,1.5,0.4,4.0,2.7,0.7,3.4,4.4,1.3,3,0.8000000000000002,False
alx,3236602.0,3237567.0,ECK3079,b3088,21.9,16.9,0.8,57.1,33.8,0.6,44.5,62.8,1.4,3,0.9333333333333332,False
amiA,2550374.0,2551243.0,ECK2430,b2435,65.7,51.0,0.8,65.6,46.2,0.7,82.3,57.9,0.7,3,0.7333333333333334,False
amiB,4394088.0,4395425.0,ECK4165,b4169,71.6,25.6,0.4,87.4,30.7,0.4,102.5,25.3,0.2,3,0.3333333333333333,False
amiC,2947032.0,2945779.0,ECK2813,b2817,109.8,51.2,0.5,121.6,70.1,0.6,125.6,72.9,0.6,3,0.5666666666666668,False
amiD,904136.0,904966.0,ECK0858,b0867,50.9,23.2,0.5,48.4,9.1,0.2,60.3,11.1,0.2,3,0.3,False
amn,2053085.0,2054539.0,ECK1977,b1982,52.3,144.0,2.8,52.1,92.0,1.8,27.6,72.7,2.6,3,2.4,False
ampC,4376967.0,4375834.0,ECK4146,b4150,19.0,38.1,2.0,19.0,42.8,2.3,20.0,14.5,0.7,3,1.6666666666666667,False
ampD,118733.0,119284.0,ECK0109,b0110,60.3,78.3,1.3,35.6,37.9,1.1,32.4,46.5,1.4,3,1.2666666666666668,False
ampE,119281.0,120135.0,ECK0110,b0111,33.1,22.5,0.7,33.9,19.6,0.6,25.6,27.6,1.1,3,0.7999999999999999,False
ampG,452769.0,451294.0,ECK0427,b0433,64.3,17.5,0.3,130.5,22.1,0.2,124.5,35.5,0.3,3,0.26666666666666666,False
ampH,395511.0,394354.0,ECK0371,b0376,29.9,36.0,1.2,42.0,47.0,1.1,22.7,37.3,1.6,3,1.3,False
amtB,472190.0,473476.0,ECK0445,b0451,7.3,0.2,0.0,12.4,1.3,0.1,7.4,1.6,0.2,3,0.10000000000000002,False
amyA,2004180.0,2005667.0,ECK1926,b1927,42.6,10.6,0.2,61.0,14.1,0.2,64.7,20.0,0.3,3,0.2333333333333333,False
anmK,1717626.0,1716517.0,ECK1636,b1640,34.4,42.3,1.2,37.1,26.4,0.7,20.4,23.1,1.1,3,1.0,False
ansA,1848884.0,1849900.0,ECK1765,b1767,94.7,177.7,1.9,124.2,182.7,1.5,114.6,149.5,1.3,3,1.5666666666666667,False
ansB,3098750.0,3097704.0,ECK2952,b2957,32.2,52.8,1.6,19.7,8.8,0.4,9.1,12.8,1.4,3,1.1333333333333333,False
ansP,1524004.0,1522505.0,ECK1447,b1453,15.9,17.0,1.1,30.6,22.9,0.7,33.4,30.8,0.9,3,0.9,False
apaG,51606.0,51229.0,ECK0051,b0050,189.2,44.8,0.2,210.3,24.4,0.1,177.8,38.1,0.2,3,0.16666666666666666,False
apaH,51222.0,50380.0,ECK0050,b0049,52.8,54.5,1.0,68.8,65.5,1.0,68.4,45.1,0.7,3,0.9,False
apbE,2309556.0,2308501.0,ECK2206,b2214,21.7,12.5,0.6,31.0,19.8,0.6,37.7,33.1,0.9,3,0.7000000000000001,False
aphA,4267437.0,4268150.0,ECK4047,b4055,37.2,56.7,1.5,19.6,21.1,1.1,16.2,31.7,2.0,3,1.5333333333333332,False
appA,1039840.0,1041138.0,ECK0971,b0980,6.6,0.9,0.1,6.5,0.6,0.1,3.1,1.6,0.5,3,0.2333333333333333,False
appB,1038519.0,1039655.0,ECK0970,b0979,3.2,2.6,0.8,6.6,1.5,0.2,2.8,4.5,1.6,3,0.8666666666666667,False
appC,1036963.0,1038507.0,ECK0969,b0978,3.2,1.8,0.6,5.4,2.2,0.4,4.6,7.3,1.6,3,0.8666666666666667,False
appX,1039668.0,1039760.0,ECK4402,b4592,9.7,14.7,1.5,20.1,0.0,0.0,8.6,0.0,0.0,3,0.5,False
appY,582904.0,583653.0,ECK0556,b0564,5.4,7.3,1.3,0.0,3.3,,6.4,11.0,1.7,2,1.5,False
apt,490636.0,491187.0,ECK0463,b0469,286.9,855.0,3.0,528.6,1332.8,2.5,396.9,1142.9,2.9,3,2.8000000000000003,False
aqpZ,915270.0,914575.0,ECK0866,b0875,10.3,2.5,0.2,4.0,3.6,0.9,9.1,4.4,0.5,3,0.5333333333333333,False
araA,68337.0,66835.0,ECK0063,b0062,0.9,3.9,4.3,2.5,0.6,0.2,1.3,4.1,3.1,3,2.533333333333333,False
araB,70048.0,68348.0,ECK0064,b0063,1.3,0.1,0.1,0.5,0.0,0.0,1.4,0.6,0.4,3,0.16666666666666666,False
araC,70387.0,71265.0,ECK0065,b0064,15.4,14.2,0.9,9.6,6.7,0.7,13.1,15.2,1.2,3,0.9333333333333332,False
araD,66550.0,65855.0,ECK0062,b0061,0.0,1.1,,4.0,0.0,0.0,3.4,0.0,0.0,2,0.0,False
araE,2980204.0,2978786.0,ECK2839,b2841,9.8,1.1,0.1,14.5,2.4,0.2,13.5,5.8,0.4,3,0.23333333333333336,False
araF,1984152.0,1983163.0,ECK1899,b1901,1.4,2.6,1.9,3.8,0.8,0.2,4.0,0.0,0.0,3,0.7000000000000001,False
araG,1983093.0,1981579.0,ECK1898,b1900,2.1,1.2,0.6,1.2,0.6,0.4,1.6,0.0,0.0,3,0.3333333333333333,False
araH,1981567.0,1980578.0,ECK1897,b4460,2.7,0.8,0.3,1.9,0.8,0.4,1.2,3.1,2.6,3,1.0999999999999999,False
araJ,411705.0,410521.0,ECK0390,b0396,13.7,7.6,0.6,10.3,6.4,0.6,17.1,11.3,0.7,3,0.6333333333333333,False
arcA,4638329.0,4637613.0,ECK4393,b4401,619.3,1081.3,1.7,502.2,658.4,1.3,574.0,669.3,1.2,3,1.4000000000000001,False
arcB,3351047.0,3348711.0,ECK3200,b3210,73.5,66.1,0.9,44.8,28.7,0.6,43.6,39.6,0.9,3,0.7999999999999999,False
arfA,3436671.0,3436453.0,ECK3278,b4550,39.0,112.9,2.9,68.3,122.3,1.8,59.9,117.3,2.0,3,2.2333333333333334,False
arfB,214833.0,215255.0,ECK0191,b0191,51.0,12.9,0.3,53.1,9.9,0.2,50.8,34.0,0.7,3,0.39999999999999997,False
argA,2947264.0,2948595.0,ECK2814,b2818,12.8,5.3,0.4,10.5,3.1,0.3,8.4,6.2,0.7,3,0.4666666666666666,False
argB,4154039.0,4154812.0,ECK3950,b3959,27.9,21.4,0.8,16.9,19.5,1.2,22.6,27.9,1.2,3,1.0666666666666667,False
argC,4153024.0,4154028.0,ECK3949,b3958,14.8,10.7,0.7,10.2,8.3,0.8,13.1,17.4,1.3,3,0.9333333333333332,False
argD,3488202.0,3486982.0,ECK3347,b3359,46.4,59.2,1.3,60.5,54.2,0.9,53.4,48.8,0.9,3,1.0333333333333334,False
argE,4152870.0,4151719.0,ECK3948,b3957,64.8,91.1,1.4,41.4,44.3,1.1,42.8,49.1,1.1,3,1.2,False
argF,289529.0,288525.0,ECK0274,b0273,19.7,42.4,2.2,15.8,35.0,2.2,20.6,23.5,1.1,3,1.8333333333333333,False
argG,3316659.0,3318002.0,ECK3161,b3172,69.0,166.7,2.4,75.2,124.6,1.7,79.3,117.7,1.5,3,1.8666666666666665,False
argH,4154873.0,4156246.0,ECK3951,b3960,39.9,44.2,1.1,37.4,45.7,1.2,38.5,36.6,1.0,3,1.0999999999999999,False
argI,4476334.0,4475330.0,ECK4247,b4254,9.4,13.0,1.4,6.5,5.0,0.8,7.9,17.4,2.2,3,1.4666666666666668,False
argK,3061009.0,3062004.0,ECK2914,b2918,2.3,0.0,0.0,1.9,0.0,0.0,1.2,1.0,0.9,3,0.3,False
argO,3066830.0,3066195.0,ECK2919,b2923,14.9,26.0,1.8,17.6,22.4,1.3,16.3,11.3,0.7,3,1.2666666666666666,False
argP,3057775.0,3058668.0,ECK2912,b2916,102.1,222.1,2.2,82.6,118.9,1.4,62.7,102.3,1.6,3,1.7333333333333334,False
argR,3382725.0,3383195.0,ECK3226,b3237,145.2,208.3,1.4,176.7,360.7,2.0,221.2,377.4,1.7,3,1.7,False
argS,1958086.0,1959819.0,ECK1877,b1876,194.8,286.2,1.5,224.9,402.1,1.8,255.2,304.6,1.2,3,1.5,False
argT,2425813.0,2425031.0,ECK2304,b2310,35.0,74.1,2.1,37.0,75.9,2.0,48.8,60.4,1.2,3,1.7666666666666666,False
ariR,1215592.0,1215858.0,ECK1153,b1166,1.7,7.3,4.3,7.0,6.3,0.9,7.4,7.7,1.0,3,2.066666666666667,False
arnA,2366061.0,2368043.0,ECK2248,b2255,239.1,370.1,1.5,276.9,366.8,1.3,221.8,330.6,1.5,3,1.4333333333333333,False
arnB,2363932.0,2365089.0,ECK2246,b2253,174.4,122.1,0.7,353.8,244.3,0.7,330.7,278.6,0.8,3,0.7333333333333334,False
arnC,2365093.0,2366061.0,ECK2247,b2254,186.6,228.9,1.2,224.9,249.6,1.1,192.9,182.4,0.9,3,1.0666666666666667,False
arnD,2368040.0,2368930.0,ECK2249,b2256,132.3,76.9,0.6,155.4,73.3,0.5,204.4,104.9,0.5,3,0.5333333333333333,False
arnE,2370579.0,2370914.0,ECK2251,b4544,41.5,19.1,0.5,64.0,42.3,0.7,34.3,15.3,0.4,3,0.5333333333333333,False
arnF,2370914.0,2371300.0,ECK2252,b2258,11.6,9.1,0.8,33.8,19.5,0.6,17.5,21.2,1.2,3,0.8666666666666666,False
arnT,2368930.0,2370582.0,ECK2250,b2257,33.5,16.8,0.5,54.9,20.8,0.4,46.2,51.6,1.1,3,0.6666666666666666,False
aroA,958035.0,959318.0,ECK0899,b0908,217.6,264.4,1.2,185.7,245.1,1.3,174.7,189.7,1.1,3,1.2,False
aroB,3516508.0,3515420.0,ECK3376,b3389,411.0,115.1,0.3,578.0,135.3,0.2,475.8,119.8,0.3,3,0.26666666666666666,False
aroC,2445495.0,2444410.0,ECK2323,b2329,264.7,286.3,1.1,250.6,265.1,1.1,222.6,205.3,0.9,3,1.0333333333333334,False
aroD,1772710.0,1773468.0,ECK1691,b1693,48.0,111.3,2.3,35.7,70.6,2.0,28.3,55.5,2.0,3,2.1,False
aroE,3428860.0,3428042.0,ECK3268,b3281,192.8,106.5,0.6,177.0,119.6,0.7,153.9,91.6,0.6,3,0.6333333333333333,False
aroF,2739172.0,2738102.0,ECK2598,b2601,54.2,72.2,1.3,50.7,56.3,1.1,64.6,49.9,0.8,3,1.0666666666666667,False
aroG,784856.0,785908.0,ECK0743,b0754,588.7,1531.7,2.6,441.4,1007.1,2.3,369.7,642.1,1.7,3,2.2,False
aroH,1786459.0,1787505.0,ECK1702,b1704,90.7,107.9,1.2,131.3,173.5,1.3,105.6,169.8,1.6,3,1.3666666666666665,False
aroK,3517086.0,3516565.0,ECK3377,b3390,553.3,545.3,1.0,883.3,1032.6,1.2,983.5,834.6,0.8,3,1.0,False
aroL,405629.0,406153.0,ECK0383,b0388,115.7,93.5,0.8,133.6,100.4,0.8,131.0,58.7,0.4,3,0.6666666666666666,False
aroM,406652.0,407329.0,ECK0385,b0390,17.3,17.2,1.0,22.1,34.6,1.6,29.9,31.8,1.1,3,1.2333333333333334,False
aroP,121551.0,120178.0,ECK0111,b0112,76.0,63.5,0.8,79.6,55.4,0.7,88.6,124.1,1.4,3,0.9666666666666667,False
arpA,4220510.0,4218324.0,ECK4009,b4017,1.0,0.7,0.7,1.3,0.4,0.3,0.4,0.9,2.6,3,1.2,False
arsB,3646958.0,3648247.0,ECK3487,b3502,7.7,6.2,0.8,6.5,6.5,1.0,8.6,6.4,0.7,3,0.8333333333333334,False
arsC,3648260.0,3648685.0,ECK3488,b3503,18.0,40.2,2.2,8.8,21.6,2.5,9.3,38.6,4.1,3,2.9333333333333336,False
arsR,3646551.0,3646904.0,ECK3486,b3501,15.2,10.4,0.7,18.5,4.7,0.3,15.7,8.7,0.6,3,0.5333333333333333,False
artI,902211.0,901480.0,ECK0854,b0863,111.8,280.6,2.5,141.8,223.0,1.6,150.5,227.4,1.5,3,1.8666666666666665,False
artJ,899798.0,899067.0,ECK0851,b0860,23.4,118.9,5.1,29.4,88.0,3.0,34.2,88.4,2.6,3,3.5666666666666664,False
artM,900757.0,900089.0,ECK0852,b0861,51.8,20.7,0.4,89.5,40.0,0.4,107.6,36.9,0.3,3,0.3666666666666667,False
artP,902957.0,902229.0,ECK0855,b0864,77.1,49.4,0.6,103.9,105.6,1.0,128.7,86.0,0.7,3,0.7666666666666666,False
artQ,901473.0,900757.0,ECK0853,b0862,77.8,25.5,0.3,103.1,54.9,0.5,97.1,63.1,0.6,3,0.4666666666666666,False
ascB,2839012.0,2840436.0,ECK2711,b2716,9.2,7.7,0.8,4.6,7.0,1.5,9.2,5.8,0.6,3,0.9666666666666667,False
ascF,2837546.0,2839003.0,ECK2710,b2715,7.7,0.8,0.1,9.0,0.6,0.1,7.4,1.4,0.2,3,0.13333333333333333,False
ascG,2837286.0,2836276.0,ECK2709,b2714,40.5,39.1,1.0,41.6,17.4,0.4,33.8,40.7,1.2,3,0.8666666666666666,False
asd,3572901.0,3571798.0,ECK3419,b3433,732.2,1505.2,2.1,511.7,817.3,1.6,396.2,735.3,1.9,3,1.8666666666666665,False
aslA,3984030.0,3982375.0,ECK3794,b3801,3.5,0.4,0.1,5.1,0.0,0.0,3.8,1.9,0.5,3,0.19999999999999998,False
aslB,3980981.0,3982216.0,ECK3793,b3800,2.9,0.8,0.3,9.8,2.0,0.2,7.4,2.5,0.3,3,0.26666666666666666,False
asmA,2139636.0,2137783.0,ECK2058,b2064,61.9,20.5,0.3,77.7,22.6,0.3,85.4,33.8,0.4,3,0.3333333333333333,False
asnA,3925178.0,3926170.0,ECK3738,b3744,309.9,723.1,2.3,454.0,814.2,1.8,508.2,667.4,1.3,3,1.7999999999999998,False
asnB,698400.0,696736.0,ECK0662,b0674,185.3,478.4,2.6,121.9,273.5,2.2,134.9,181.4,1.3,3,2.0333333333333337,False
asnC,3925026.0,3924568.0,ECK3737,b3743,19.6,68.3,3.5,18.3,82.1,4.5,12.1,98.5,8.1,3,5.366666666666667,False
asnS,988208.0,986808.0,ECK0921,b0930,701.3,1085.5,1.5,863.9,1237.3,1.4,705.3,924.8,1.3,3,1.4000000000000001,False
aspA,4366350.0,4364914.0,ECK4133,b4139,489.3,713.6,1.5,86.6,57.7,0.7,107.4,91.5,0.9,3,1.0333333333333334,False
aspC,984932.0,983742.0,ECK0919,b0928,328.6,884.1,2.7,301.6,773.0,2.6,257.8,460.7,1.8,3,2.3666666666666667,False
